freq, MHz	val1	val2	val3	unit
0,0790	25,5082			dBuV
0,0791	19,8377			dBuV
0,0792	24,7908			dBuV
0,0793	23,9452			dBuV
0,0794	22,7225			dBuV
0,0795	22,7614			dBuV
0,0796	19,7127			dBuV
0,0797	22,3088			dBuV
0,0798	24,1205			dBuV
0,0799	23,2548			dBuV
0,0800	27,1608			dBuV
0,0801	21,5718			dBuV
0,0802	23,7105			dBuV
0,0803	15,9746			dBuV
0,0804	19,6712			dBuV
0,0805	22,1604			dBuV
0,0806	18,7946			dBuV
0,0807	21,4166			dBuV
0,0808	24,2315			dBuV
0,0809	21,5988			dBuV
0,0810	19,0246			dBuV
0,0811	19,6809			dBuV
0,0812	21,1145			dBuV
0,0813	20,1093			dBuV
0,0814	17,1970			dBuV
0,0815	22,0689			dBuV
0,0816	19,1322			dBuV
0,0817	23,8813			dBuV
0,0818	15,5437			dBuV
0,0819	24,5620			dBuV
0,0820	22,2030			dBuV
0,0821	21,4772			dBuV
0,0822	21,6842			dBuV
0,0823	23,5818			dBuV
0,0824	22,1313			dBuV
0,0825	23,8065			dBuV
0,0826	23,2957			dBuV
0,0827	18,8044			dBuV
0,0828	23,7444			dBuV
0,0829	21,5223			dBuV
0,0830	19,8394			dBuV
0,0831	22,9933			dBuV
0,0832	20,2133			dBuV
0,0833	22,6698			dBuV
0,0834	23,8941			dBuV
0,0835	20,7576			dBuV
0,0836	19,5978			dBuV
0,0837	26,8057			dBuV
0,0838	23,3477			dBuV
0,0839	17,7548			dBuV
0,0840	21,6372			dBuV
0,0841	20,3378			dBuV
0,0842	18,4658			dBuV
0,0843	21,8495			dBuV
0,0844	14,1954			dBuV
0,0845	23,0471			dBuV
0,0846	18,8298			dBuV
0,0847	23,0181			dBuV
0,0848	21,7083			dBuV
0,0849	20,4250			dBuV
0,0850	16,9482			dBuV
0,0851	23,7471			dBuV
0,0852	21,5231			dBuV
0,0853	23,0174			dBuV
0,0854	18,1815			dBuV
0,0855	18,6993			dBuV
0,0856	21,8373			dBuV
0,0857	22,3388			dBuV
0,0858	23,5976			dBuV
0,0859	15,2933			dBuV
0,0860	20,2071			dBuV
0,0861	21,8812			dBuV
0,0862	21,0737			dBuV
0,0863	19,3642			dBuV
0,0864	14,5204			dBuV
0,0865	21,0719			dBuV
0,0866	21,5313			dBuV
0,0867	17,6504			dBuV
0,0868	25,3849			dBuV
0,0869	20,6653			dBuV
0,0870	23,8186			dBuV
0,0871	19,5251			dBuV
0,0872	22,0509			dBuV
0,0873	24,1818			dBuV
0,0874	18,4878			dBuV
0,0875	23,7269			dBuV
0,0876	20,8744			dBuV
0,0877	17,8397			dBuV
0,0878	25,7889			dBuV
0,0879	20,7848			dBuV
0,0880	22,2154			dBuV
0,0881	20,1375			dBuV
0,0882	18,5908			dBuV
0,0883	20,4482			dBuV
0,0884	27,3477			dBuV
0,0885	20,0085			dBuV
0,0886	21,3354			dBuV
0,0887	16,2810			dBuV
0,0888	19,6935			dBuV
0,0889	26,0761			dBuV
0,0890	16,1067			dBuV
0,0891	18,0541			dBuV
0,0892	16,3846			dBuV
0,0893	24,9518			dBuV
0,0894	16,3664			dBuV
0,0895	19,8251			dBuV
0,0896	23,1090			dBuV
0,0897	20,1459			dBuV
0,0898	25,6292			dBuV
0,0899	21,2088			dBuV
0,0900	22,8906			dBuV
0,0901	17,0302			dBuV
0,0902	20,6859			dBuV
0,0903	23,8622			dBuV
0,0904	23,2197			dBuV
0,0905	19,4709			dBuV
0,0906	23,9722			dBuV
0,0907	19,0579			dBuV
0,0908	23,9921			dBuV
0,0909	20,0176			dBuV
